,Type,Utterance,Sub topic,Unnamed: 3,Dialogue_Act,Emotion,Transliterated
0,T,"Hi, Miss Jones. ",inactive,,gt,,"""Namaste, Miss Jones."""
1,P,Yes,inactive,,gt,,Haan
2,T,I'm Jane Corona. I'm a medical student with university here,inactive,,gt,,Main Jane Corona hu. Mera yahaan university mein medical ke chhatra hu.
3,P,Nice to meet you,inactive,,gt,,Aap se mil ke achha laga.
4,T,I've been sitting by Dr. Smith is part of our treating as a medical student to do an interview with you. Okay. And then I'll take that information back to Dr. Smith And then she will come back in and see you then after that,inactive,,gt,,"""Main Dr. Smith ke paas baitha hoon kyunki hum aapko interview dene ke liye ek medical student ke taur par ilaj kar rahe hain. Theek hai. Phir main woh jaankari Dr. Smith ko lautaunga aur phir woh aapko dekhne ke liye laut aaegi."""
5,P,okay.,inactive,,gt,,ठी
6,T,All right. How may I address you?,inactive,,irq,,Theek toh. Main aapse kaise sampark kar sakta hu?
7,P,Mrs. Jones is fine.,inactive,,id,,Mrs. Jones thik hai.
8,T,"All right. Thank you. Um, is that okay with you today to talk?",inactive,,yq,,"Theek hai. Dhanyavaad. Um, kya aaj aapke saath baat karne ke liye theek hai?"
9,P,"Yes. Okay, fine, thank you.",inactive,,ack,,"Haan. Thik hai, accha, dhanyavaad."
10,T,I'm going to start out today by just talking a little bit with you about your chief complaint What brings you here today?,symp/reasoning,,irq,,Main aaj shuru karne jaa raha hu bas aapke saath baat karke aapke pramukh shikayat ke baare mein. Aaj aapko yahaan kyon le aaya?
11,P,"Sure, my left elbow is actually been bugging me a lot. Every once in a while, I've been getting a little bit of pain, extending my arm and going back to bending it. Really, that's the primary reason I've come in I've attempted to take a little bit To Tylenol to relieve the pain but it's not really seemed to help much. ",symp/reasoning,,id,,"Haan,maine ek bar Azmaisha leel li, kyunki mere left aunty par bahut zyada pareshaani ho rahi hai. Hana ek do baar, merey hources cooking mein zara se dard hota tha, par main phir se aunty bethnay ka practice karti hoon. Haqeeqatan to, yehi ek sar-e-aam wajah hai ke main yahan par aayi hoon. D-Haan, maine dard ko kam karne ke liye teen - chaar boond Tylenol kahaa, par yeh kaafi nahin saabit hua hai."
12,T,"Okay, before we talk a little bit more about that, is there anything else that you want to talk with either me or Dr. Smith today?",routine,,yq,,"Thik hai, pehle hum uske baare mein thoda aur baat karte hain, kya aapko aaj mujhse ya Dr. Smith se kuch aur baat karni hai?"
13,P,Not that I can think of no.,routine,,on,,मैं सोचने से पहले उसके बारे में
14,T,Okay. Tell me more about this pain.,symp/reasoning,,irq,,Teekhi. Is dukh ke baare mein aur batao.
15,P,"Um, it's just kind of a throbbing pain, it'll act up kind of randomly throughout the day. It doesn't it's not specific to, you know, the morning or evening, or even in the middle of the day or night. It just kind of randomly acts up. I would say excessively, like when I'm doing work, like after the dishes will start to act up. If I, you know, lift one of my children up, it'll start to act up. So any sort of exertion is kind of where I've noticed a lot of the pain coming from",symp/reasoning,,id,,"Yaar, it's bas kind of ek throbbing dard hai, wo kabhi kabhi randomly din bhar mei activate hota hai. Ye nahi specific hai, subah ya sham, ya raat ke beech. Ye bas randomly activate hota hai. Meri paas ye isht excessive hai, jab main kaam kar rahi hu, jaise ki main bartan dhona ke baad, ye activate ho jati hai. Agar main apne baccho mei se ek ko uthaungi, toh ye activate ho jayegi. So, har tarah ka exertion ye pain activate kar deta hai."
16,T,and tell me when did it start for you?,symp/reasoning,,irq,,"Aur tum mujhe batao, kab se tumhare liye shuru hua?"
17,P,I would send every about maybe a week and a half to two weeks ago.,symp/reasoning,,id,,"Mujhe shayad har ek hafte ke baare mein bheja jaayega, lagbhag do hafto se pehle."
18,T,And you describe the pain is throbbing. Is there anything else about the pain in terms of the quality of the pain that you want to describe for me?,symp/reasoning,,yq,,"Aur tum batao ki dard dhadak raha hai. Kya tumhe dard ki koi aur quality ke baare mein bhi batana hai, jaise dard ka swabhav, mujhe bataane ke liye?"
19,P,No Just really throbbing,symp/reasoning,,on,,"Nahi yaar, bahut hi dardnaak hai."
20,T,"okay, started about a week to two weeks ago. Okay. And do you recall what you were doing at the time that it started?",symp/reasoning,,yq,,"Theek hai, roughly ek hafte se do hafte pehle se shuru kiya tha. Theek hai. Aur kya aap yaad karte hai ki tab aap kya kar rahe the?"
21,P,"I've been helping my husband clean out the garage lately, and we were lifting some boxes. And that's kind of I didn't notice it at the moment, but later in the evening, started to act up. ",symp/reasoning,,id,,"Mai ne apne pati ko kuch dino se garage ki saaf-safai mai madad kar rahi thi, aur hum kuch dabbay utha rahe the. Aur iske baare mai mai pehle notice nahi kiya, lekin baad mai sham ko, yeh start ho gaya."
22,T,"Okay. Umm I would like to hear about a little bit about the severity of it on a pain scale of one to 10, 10 being the worst pain you've ever had one or zero being no pain at this, How bad is this pain?",symp/reasoning,,irq,,"Okay. Hmm, main chahunga ki aap ek pain scale ke hisab se ise kitna dard hai, jisme 10 sabse bura dard hai jo aapne kabhi mahsoos kiya hai, aur ek ya zero matlab koi dard nahi hai. Is dard ka kya haal hai?"
23,P,I would measure it probably six or seven. It's become more of a nuisance than an actual physical pain.,symp/reasoning,,id,,Muze maine shayad usko chhe ya saat mein naapna hoga. Yeh ab ek asli sharirik dard se zyada ek pareshani ban gaya hai.
24,T,Okay. And is it a six or seven all the time?,routine,,yq,,Thik hai. Aur yeh kya saath ya saat hamesha rahta hai?
25,P,"Um, whenever it starts to act up, yes. ",routine,,id,,"हाँ, जब यह बिगड़ना शुरू होता है,"
26,T,Okay. And how often a day does that happen?,symp/reasoning,,irq,,"""Theek hai. Aur yeh kitne baar ek din mein hota hai?"""
27,P,I would say maybe two to three times per day.,symp/reasoning,,id,,Main shayad din mein do se teen baar bol sakta hoon.
28,T,Do you notice any pattern to that at all?,symp/reasoning,,yq,,Kya aap usmein koi pattern notice karte hain?
29,P,No.,symp/reasoning,,on,,Koi n
30,T,Okay. All righty. And can you point exactly to Where it is for me the location exactly?,symp/reasoning,,irq,,Okay. All righty. Aur kya aap mujhe bilkul sahi jagah bata sakte hain jahaan yeh location hai?
